Player,Team,Position,Point,TOI,PPT
Justin Abdelkader,DET,LW,3,208,0.014423077
Vitaly Abramov,OTT,RW,1,12,0.083333333
Noel Acciari,FLA,C,7,340,0.020588235
Andrew Agozzino,PIT,LW,0,2,0
Sebastian Aho,CAR,F,22,525,0.041904762
Michael Amadio,LAK,C,9,376,0.02393617
Josh Anderson,CBJ,RW,3,328,0.009146341
Lias Andersson,NYR,C,1,162,0.00617284
Rasmus Andersson,CGY,D,8,571,0.014010508
Andy Andreoff,PHI,LW,1,51,0.019607843
Artem Anisimov,OTT,C,2,130,0.015384615
Mason Appleton,WPG,C,0,93,0
Josh Archibald,EDM,RW,1,254,0.003937008
Joel Armia,MTL,RW,15,424,0.035377358
Viktor Arvidsson,NSH,LW,15,379,0.039577836
Rasmus Asplund,BUF,F,2,115,0.017391304
Zach Aston-Reese,PIT,C,7,383,0.018276762
Andreas Athanasiou,DET,C,15,465,0.032258065
Cam Atkinson,CBJ,RW,14,482,0.029045643
David Backes,BOS,C,2,75,0.026666667
Mikael Backlund,CGY,C,10,537,0.018621974
Nicklas Backstrom,WSH,C,18,453,0.039735099
Sven Baertschi,VAN,LW,2,71,0.028169014
Josh Bailey,NYI,C,17,440,0.038636364
Ivan Barbashev,STL,C,13,396,0.032828283
Mark Barberio,COL,D,0,112,0
Cole Bardreau,NYI,F,2,76,0.026315789
Aleksander Barkov,FLA,C,31,524,0.059160305
Tyson Barrie,TOR,D,12,597,0.020100503
Mathew Barzal,NYI,C,23,479,0.048016701
Drake Batherson,OTT,C,0,26,0
Jay Beagle,VAN,RW,3,252,0.011904762
Ethan Bear,EDM,D,9,616,0.01461039
J.C. Beaudin,OTT,C,1,121,0.008264463
Nathan Beaulieu,WPG,D,1,149,0.006711409
Anthony Beauvillier,NYI,LW,17,444,0.038288288
Pierre-Edouard Bellemare,COL,LW,8,330,0.024242424
Emil Bemstrom,CBJ,C,9,279,0.032258065
Jamie Benn,DAL,LW,14,472,0.029661017
Jordie Benn,VAN,D,4,477,0.008385744
Sam Bennett,CGY,C,5,264,0.018939394
Matt Benning,EDM,D,5,329,0.015197568
Patrice Bergeron,BOS,C,24,395,0.060759494
Lean Bergmann,SJS,F,1,68,0.014705882
Tyler Bertuzzi,DET,LW,24,588,0.040816327
Alex Biega,DET,D,0,177,0
Jake Bischoff,VEG,D,0,62,0
Clark Bishop,CAR,C,1,15,0.066666667
Anthony Bitetto,WPG,D,2,258,0.007751938
Anders Bjork,BOS,LW,7,252,0.027777778
Oliver Bjorkstrand,CBJ,RW,15,438,0.034246575
Tobias Bjornfot,LAK,D,0,39,0
Nick Bjugstad,PIT,C,1,132,0.007575758
Sammy Blais,STL,LW,8,270,0.02962963
Joseph Blandisi,PIT,C,3,92,0.032608696
Teddy Blueger,PIT,C,6,405,0.014814815
Mikkel Boedker,OTT,RW,1,44,0.022727273
Brock Boeser,VAN,RW,25,549,0.045537341
Zach Bogosian,BUF,D,2,114,0.01754386
Nick Bonino,NSH,C,16,440,0.036363636
Adam Boqvist,CHI,D,1,87,0.011494253
Jesper Boqvist,NJD,C,2,157,0.012738854
Henrik Borgström,FLA,C,0,50,0
Mark Borowiecki,OTT,D,10,464,0.021551724
Robert Bortuzzo,STL,D,1,148,0.006756757
Gabriel Bourque,WPG,LW,3,162,0.018518519
Jay Bouwmeester,STL,D,6,630,0.00952381
Madison Bowey,DET,D,8,391,0.020460358
Johnny Boychuk,NYI,D,7,428,0.01635514
Travis Boyd,WSH,C,7,142,0.049295775
Brian Boyle,FLA,C,8,234,0.034188034
Tyler Bozak,STL,C,11,460,0.023913043
Erik Brannstrom,OTT,D,2,300,0.006666667
Derick Brassard,NYI,C,17,385,0.044155844
Jesper Bratt,NJD,W,7,275,0.025454545
Justin Braun,PHI,D,5,469,0.010660981
T.J. Brodie,CGY,D,10,470,0.021276596
Jonas Brodin,MIN,D,8,570,0.014035088
Jonny Brodzinski,SJS,C,1,22,0.045454545
Troy Brouwer,STL,RW,0,53,0
Connor Brown,OTT,RW,15,547,0.027422303
Dustin Brown,LAK,RW,15,531,0.028248588
Josh Brown,FLA,D,3,282,0.010638298
Logan Brown,OTT,C,6,157,0.038216561
Pavel Buchnevich,NYR,LW,19,436,0.043577982
Connor Bunnaman,PHI,F,0,38,0
Andre Burakovsky,COL,LW,21,376,0.055851064
Brent Burns,SJS,D,21,701,0.029957204
Will Butcher,NJD,D,9,457,0.019693654
Paul Byron,MTL,C,4,261,0.01532567
Nicholas Caamano,DAL,RW,2,120,0.016666667
Drake Caggiula,CHI,LW,4,167,0.023952096
Matt Calvert,COL,LW,12,286,0.041958042
Kyle Capobianco,ARI,D,1,102,0.009803922
Paul Carey,BOS,C,0,6,0
Brandon Carlo,BOS,D,10,540,0.018518519
John Carlson,WSH,D,37,707,0.052333805
Ryan Carpenter,CHI,C,7,359,0.019498607
Daniel Carr,NSH,LW,0,76,0
Connor Carrick,NJD,D,1,55,0.018181818
Trevor Carrick,SJS,D,0,17,0
William Carrier,VEG,LW,7,264,0.026515152
Jeff Carter,LAK,C,12,486,0.024691358
Colby Cave,EDM,C,1,54,0.018518519
Cody Ceci,TOR,D,4,623,0.006420546
Peter Cehlarik,BOS,LW,1,34,0.029411765
Erik Cernak,TBL,D,1,402,0.002487562
Thomas Chabot,OTT,D,16,684,0.023391813
Zdeno Chara,BOS,D,12,586,0.020477816
